problem,method,seed,iterations,final_objective,best_objective,final_primal,final_dual,final_rho,rho_changes,final_status,precision_relative_error,support_f1,beta_relative_error,signal_relative_error
consensus_lasso,fixed_rho_10.0,1,150,2.745997537455,2.745997537455,9.571307525590005e-07,0.00015322841220247052,10.0,0,running,,0.41379310344827586,0.22889499624038562,
consensus_lasso,residual_balance,1,28,2.7459975158911956,2.7459975158911956,7.416941807948161e-05,1.6996196393880977e-05,1.0,0,converged,,0.41379310344827586,0.2289099443688815,
consensus_lasso,online_ogd,1,23,2.745997521400704,2.745997521400704,7.688214654854123e-05,9.125805323765147e-05,1.6347046476717437,23,converged,,0.41379310344827586,0.22891048398392863,
consensus_lasso,online_ogd_epoch3,1,25,2.745997517828653,2.745997517828653,8.23458023026188e-05,4.7978721033134356e-05,1.3731026667587432,8,converged,,0.41379310344827586,0.2289127677337362,
consensus_lasso,fixed_rho_0.1,2,150,2.3092483623770472,2.3092483623770472,0.0018522994473846165,1.976376508627724e-06,0.1,0,running,,0.4,0.17358656439269252,
consensus_lasso,fixed_rho_1.0,2,28,2.3092481891033705,2.3092481891033705,7.821052500869866e-05,1.4519732531976646e-05,1.0,0,converged,,0.4,0.17354804380906952,
consensus_lasso,fixed_rho_10.0,2,150,2.309248268865618,2.309248268865618,1.8419885974618186e-06,0.000283435943365655,10.0,0,running,,0.4,0.17354741674128008,
consensus_lasso,residual_balance,2,28,2.3092481891033705,2.3092481891033705,7.821052500869866e-05,1.4519732531976646e-05,1.0,0,converged,,0.4,0.17354804380906952,
consensus_lasso,online_ogd,2,26,2.309248191712036,2.309248191712036,6.16616934582135e-05,7.120782446722385e-05,1.4710276858268145,26,converged,,0.4,0.17354974414263913,
consensus_lasso,online_ogd_epoch3,2,27,2.3092481895348604,2.3092481895348604,7.840902060926842e-05,2.817156881543067e-05,1.1884762885669904,9,converged,,0.4,0.17354884663596504,
tv_denoising,fixed_rho_0.1,0,150,3.0202987417010743,1.8930687647111289e-31,0.04548664671156025,0.0002248986036535223,0.1,0,running,,,,0.16116444430772092
tv_denoising,fixed_rho_1.0,0,91,3.0864830268227417,1.5460917436103991,9.558491620462143e-05,1.9304714915358867e-05,1.0,0,converged,,,,0.1597450260705354
tv_denoising,fixed_rho_10.0,0,150,3.086503127747978,3.0852203632967203,7.55067515433104e-07,0.0002031493568754988,10.0,0,running,,,,0.15974253649799883
tv_denoising,residual_balance,0,91,3.0864830268227417,1.5460917436103991,9.558491620462143e-05,1.9304714915358867e-05,1.0,0,converged,,,,0.1597450260705354
tv_denoising,online_ogd,0,60,3.086488113525019,1.5460917436103991,8.847178415531306e-05,8.372659218875636e-05,1.992437443893257,60,converged,,,,0.1597437749977288
tv_denoising,online_ogd_epoch3,0,68,3.086485913040886,1.5460917436103991,9.060204388602868e-05,5.671323687255308e-05,1.6960470019407083,22,converged,,,,0.15974435591990244
tv_denoising,fixed_rho_0.1,1,150,3.6664901933744614,3.2492845574243153e-31,0.03697012838034957,7.863570929612129e-05,0.1,0,running,,,,0.0751958007818113
tv_denoising,fixed_rho_1.0,1,150,3.7139695815955345,1.774975053301198,0.00018423891097169937,2.0752863292936073e-05,1.0,0,running,,,,0.07236133786178868
