model,corpus,device,seed,method,bits,loss,ppl,delta_loss,delta_ppl,eval_tokens,num_quantized_modules,mean_module_recon_error,median_module_recon_error,max_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,quantize_wall_time_sec,eval_wall_time_sec
gpt2,wikitext2,cuda,2,rtn,3,41.51167487414507,485165195.4097903,38.144047753357974,485165166.40018123,285696,49,0.3924235122534618,0.28156253116919894,0.9406336631312142,0.0,0.0,0.0,0.6484712334349751,2.86875653360039
gpt2,wikitext2,cuda,2,gptq_proxy,3,14.093780438959811,1320842.6194322202,10.726153318172713,1320813.6098231955,285696,49,0.30195957724065614,0.24366093225672739,0.8635399427110871,0.0,0.0,0.0,5.624315580353141,2.872574435546994
gpt2,wikitext2,cuda,2,awq_proxy,3,11.815329421805652,135310.77134334328,8.447702301018555,135281.76173431845,285696,49,0.3615696712108506,0.2765135904189581,0.8694012377052788,0.0,0.0,0.0,1.2585512958467007,2.86695565469563
gpt2,wikitext2,cuda,2,admm_gptq,3,23.21256455042029,485165195.4097903,19.84493742963319,485165166.40018123,285696,49,0.45712005151638563,0.30657287857397464,2.2954271624122007,1.555531100835513,21.504049560073362,5.615193144136723,170.31700117420405,2.8869876516982913
gpt2,wikitext2,cuda,2,fp32,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0350719094276428e-05,2.895395163446665
gpt2,wikitext2,cuda,2,rtn,4,13.045498301051424,463007.3932351809,9.677871180264326,462978.3836261561,285696,49,0.1767070430893836,0.13139053898213038,0.42196084660839456,0.0,0.0,0.0,0.6222541071474552,2.8888118164613843
gpt2,wikitext2,cuda,2,gptq_proxy,4,5.745842755909035,312.88720428942116,2.3782156351219372,283.8775952646002,285696,49,0.1340468263297734,0.10832901492291143,0.3905920162661268,0.0,0.0,0.0,5.835569530725479,2.8765347953885794
gpt2,wikitext2,cuda,2,awq_proxy,4,6.5423039962741205,693.8834426115275,3.174676875487023,664.8738335867065,285696,49,0.16101414187750251,0.12578374281516513,0.3483934179167563,0.0,0.0,0.0,1.2830119971185923,2.8730116710066795
gpt2,wikitext2,cuda,2,admm_gptq,4,8.512740018974496,4977.783641143698,5.145112898187398,4948.774032118878,285696,49,0.1760556068831189,0.1311493024629052,0.4249021999777219,0.7716822973324567,7.9533088047167935,3.929905585844834,168.09896226599813,2.8819472435861826
gpt2,wikitext2,cuda,3,fp32,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2720003724098206e-05,2.9176647840067744
gpt2,wikitext2,cuda,3,rtn,3,41.51167487414507,485165195.4097903,38.144047753357974,485165166.40018123,285696,49,0.3924452741946274,0.28144162348477,0.9332721969028909,0.0,0.0,0.0,0.6508207805454731,2.8814925411716104
