seed,method,admm_controller,admm_rho0,bits,name,d_in,d_out,recon_error,final_primal,final_dual,final_rho
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.10.self_attn.out_proj,768,768,0.17803992891740705,0.00045861766438633217,0.03450348070910605,2.3527121011852405
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.10.fc1,768,3072,0.07388688960213187,0.14473810085930156,0.09871407657103849,1.3977584693545972
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.10.fc2,3072,768,0.3877623565537093,0.0001459239602948094,0.053774507523125806,5.679673377676358
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.11.self_attn.k_proj,768,768,0.13461282226117557,12.813552738769513,0.5196132910330165,0.03419248072767097
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.11.self_attn.v_proj,768,768,0.1478142796363346,0.6005572552550127,0.15252008722286262,0.27863363700542415
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.11.self_attn.q_proj,768,768,0.11809346750583884,10.886886940310168,0.5124591111596194,0.04057418009185643
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.11.self_attn.out_proj,768,768,0.19812438105983932,0.058862692809733566,0.08403625837468914,1.0763593106251517
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.11.fc1,768,3072,0.08366333254198353,0.26138372471489113,0.08513762383661685,0.6553506962151233
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.11.fc2,3072,768,0.16456280731445436,0.003926155326052872,0.08500702947462965,1.7931438688195378
0,admm_gptq,task_norm_magnitude,1.0,4,lm_head,768,50272,0.04925945520207301,84.46685971807011,3.417078159321684,0.03046184292796859
1,gptq_proxy,,,4,model.decoder.layers.0.self_attn.k_proj,768,768,0.09874112913505939,,,
1,gptq_proxy,,,4,model.decoder.layers.0.self_attn.v_proj,768,768,0.14888266105938655,,,
1,gptq_proxy,,,4,model.decoder.layers.0.self_attn.q_proj,768,768,0.09458275416992606,,,
1,gptq_proxy,,,4,model.decoder.layers.0.self_attn.out_proj,768,768,0.08497309759881091,,,
1,gptq_proxy,,,4,model.decoder.layers.0.fc1,768,3072,0.05735005466739788,,,
1,gptq_proxy,,,4,model.decoder.layers.0.fc2,3072,768,0.07095805565239607,,,
1,gptq_proxy,,,4,model.decoder.layers.1.self_attn.k_proj,768,768,0.08871842893348345,,,
1,gptq_proxy,,,4,model.decoder.layers.1.self_attn.v_proj,768,768,0.14513395487810488,,,
1,gptq_proxy,,,4,model.decoder.layers.1.self_attn.q_proj,768,768,0.10294207368685485,,,
1,gptq_proxy,,,4,model.decoder.layers.1.self_attn.out_proj,768,768,0.12430089055031886,,,
1,gptq_proxy,,,4,model.decoder.layers.1.fc1,768,3072,0.06843721204795825,,,
